pa_id,name,type,type_group,iucn_category,state,governance,environment,area_ha,area_km2,longitude,latitude,gaz_year,is_indigenous
VIC_2216,Raglan B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.57,0.15,143.40311911,-37.33875198,1983,False
NTWA_0143,NTWA Bushland covenant (0143),Conservation Covenant,Conservation park/reserve,IV,WA,P,T,14.57,0.15,117.26935905,-34.91451408,2016,False
NSW_N0503,Burning Mountain,Nature Reserve,Nature reserve,III,NSW,G,T,14.57,0.15,150.89896462,-31.86851454,1975,False
TAS_20053,Tullochgorum #1,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.56,0.15,147.97541484,-41.68515814,2007,False
TAS_50129,St Clair Lagoon,Conservation Area,Conservation park/reserve,VI,TAS,G,T,14.56,0.15,146.21150104,-42.12173679,1939,False
TAS_50765,Sidmouth,Conservation Area,Conservation park/reserve,V,TAS,G,T,14.55,0.15,146.89179311,-41.21427058,2011,False
VIC_1110,Coonimur I56 B.R,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.52,0.15,143.25043378,-34.98410063,1979,False
NT_PA77,Knuckey Lagoons,Conservation Reserve,Conservation park/reserve,IV,NT,G,T,14.5,0.15,130.94369507,-12.42533411,1991,False
SA_677,Unnamed (No.HA677),Heritage Agreement,Private or covenant,III,SA,P,T,14.49,0.14,139.1657463,-34.32244573,1992,False
NTWA_0120B,NTWA Bushland covenant (0120B),Conservation Covenant,Conservation park/reserve,IV,WA,P,T,14.47,0.14,117.173628,-34.94588934,2010,False
TAS_50289,Black Pyramid Rock,Nature Reserve,Nature reserve,Ia,TAS,G,B,14.47,0.14,144.34242545,-40.47216482,1981,False
VIC_2366,Welshmans Reef B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.47,0.14,144.05450922,-37.07390574,1982,False
QLD_0199PCL001,Pipeclay,National Park,National park,II,QLD,G,T,14.47,0.14,153.00589725,-25.98395427,1974,False
TAS_50014,Arthur-Pieman,Conservation Area,Conservation park/reserve,VI,TAS,G,T,14.45,0.14,144.67030874,-40.98253432,1982,False
NSW_N0939,Lansdowne,Nature Reserve,Nature reserve,Ia,NSW,G,T,14.44,0.14,152.54127729,-31.7885851,2008,False
TAS_14407,Sugarloaf Road #4,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.43,0.14,147.70651059,-42.85184379,2013,False
VIC_1792,Leeor I2 B.R,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.42,0.14,140.99487749,-36.44660811,1987,False
TAS_22625,Marchwiel #6,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.42,0.14,147.87354847,-42.77315999,2002,False
VIC_1272,Leaghur B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.42,0.14,143.76773975,-35.96679209,1979,False
VIC_1149,Nunga B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.4,0.14,142.35628692,-35.12885541,1979,False
VIC_1667,Yea G126 B.R,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.38,0.14,145.37518539,-37.33209234,1997,False
SA_853,Unnamed (No.HA853),Heritage Agreement,Private or covenant,III,SA,P,T,14.38,0.14,138.35904207,-35.43762942,1993,False
VIC_2054,Tharanbegga H47 B.R,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.37,0.14,145.90456856,-36.1458917,1986,False
SA_765,Unnamed (No.HA765),Heritage Agreement,Private or covenant,III,SA,P,T,14.36,0.14,138.48551237,-35.46168512,1992,False
VIC_3668,The Waterhole G.L.R,Natural Features Reserve,Nature reserve,VI,VIC,G,T,14.36,0.14,147.11419042,-38.13518031,1984,False
VIC_1795,Dinyarrak I5 B.R,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.36,0.14,141.06510032,-36.32814149,1987,False
VIC_1978,Dunmore B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.35,0.14,141.78190023,-38.09652602,1984,False
TAS_50173,Long Reach,Conservation Area,Conservation park/reserve,V,TAS,G,T,14.31,0.14,146.91172719,-41.15166152,1938,False
VIC_2417,Locksley B.R,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.3,0.14,145.33775949,-36.83298137,1982,False
TAS_21510,Pegarah Rd King Island,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.3,0.14,144.09995215,-39.9351693,2004,False
VIC_2289,St Arnaud I53 B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.28,0.14,143.32062791,-36.62557441,1982,False
TAS_24299,Fairfield #3,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.27,0.14,147.33448231,-41.76793978,2002,False
QLD_NR138,Golden Gully,Nature Refuge,Other,VI,QLD,P,T,14.26,0.14,152.84429647,-26.25158754,2008,False
VIC_2078,Moglonemby B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.25,0.14,145.51544723,-36.63906647,1986,False
VIC_2118,Carraragarmungee H111 B.R,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.24,0.14,146.40841806,-36.26576753,1986,False
TAS_13524,Cloudy Bay Lagoon,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.24,0.14,147.20709981,-43.43518526,2010,False
NTWA_0142,NTWA Bushland covenant (0142),Conservation Covenant,Conservation park/reserve,IV,WA,P,T,14.24,0.14,117.31932448,-34.91905355,2014,False
SA_1323,Unnamed (No.HA1323),Heritage Agreement,Private or covenant,III,SA,P,T,14.24,0.14,138.64100938,-35.03483341,2005,False
TAS_50124,South Arm,Conservation Area,Conservation park/reserve,VI,TAS,G,B,14.22,0.14,147.47312766,-43.00714984,1991,False
TAS_10024,Fire Tower Rd Koonya,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.21,0.14,147.80605552,-43.09479884,2002,False
VIC_2044,Youanmite H37 B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.19,0.14,145.6731873,-36.16476577,1986,False
TAS_50814,North George River,Conservation Area,Conservation park/reserve,V,TAS,G,T,14.18,0.14,147.94206683,-41.25741791,2012,False
SA_1074,Unnamed (No.HA1074),Heritage Agreement,Private or covenant,III,SA,P,T,14.18,0.14,138.95459616,-34.78205541,1998,False
SA_0045,Calectasia,Conservation Park,Conservation park/reserve,IV,SA,G,T,14.18,0.14,140.55111457,-37.35725965,1967,False
TAS_10057,Allisons Rd Lower Barrington,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.15,0.14,146.3058747,-41.30819856,2003,False
